file,annotations,avg_confidence,sast_risks,ml_signals,best_practices,high_severity,medium_severity,low_severity
task,16,0.7188,0,0,0,0,1,0
__init__,1,0.5,0,0,0,0,0,0
base,20,0.75,0,0,0,0,0,4
poet,9,0.8333,0,0,0,0,1,4
shrink,74,0.7432,0,0,0,0,0,8
structured,20,0.75,0,0,0,0,0,4
__init__,6,0.5,0,0,0,0,0,0
backtest,63,0.6508,0,0,0,0,0,15
naive_config_parser,45,0.7,0,0,0,0,4,6
train_onpolicy,51,0.6078,0,0,0,0,2,11
utils,10,0.6,0,0,0,0,1,1
base,19,0.7368,0,0,0,0,0,4
integration,8,0.5,0,0,0,0,0,0
native,78,0.7244,0,0,0,0,1,4
pickle_styled,88,0.6932,0,0,0,0,3,15
__init__,11,0.5,0,0,0,0,3,2
interpreter,106,0.6274,0,0,0,0,0,5
network,53,0.717,0,0,0,0,0,2
policy,64,0.6797,0,0,0,0,0,9
reward,25,0.72,0,0,0,0,0,4
simulator_qlib,43,0.6977,0,0,0,0,0,8
simulator_simple,96,0.8073,0,0,0,0,2,11
state,20,0.55,0,0,0,0,1,0
strategy,161,0.7391,0,0,0,0,1,30
utils,22,0.7273,0,0,0,0,0,3
__init__,2,0.75,0,0,0,0,0,0
single_order,9,0.7222,0,0,0,0,0,1
__init__,1,0.5,0,0,0,0,0,0
api,24,0.8333,0,0,0,0,0,0
callbacks,15,0.5,0,0,0,0,0,8
trainer,89,0.6966,0,0,0,0,3,4
vessel,110,0.6864,0,0,0,0,0,9
__init__,2,0.5,0,0,0,0,0,0
data_queue,59,0.6949,0,0,0,0,0,9
env_wrapper,53,0.6604,0,0,0,0,1,5
finite_env,107,0.7009,0,0,0,0,1,7
log,153,0.6895,0,0,0,0,0,27
__init__,2,0.5,0,0,0,0,0,0
manager,66,0.6894,0,0,0,0,0,8
strategy,41,0.7561,0,0,0,0,0,8
update,62,0.7823,0,0,0,0,3,4
utils,58,0.681,0,0,0,0,1,8
collect,43,0.7791,0,0,0,0,0,8
gen,58,0.7069,0,0,0,0,0,5
manage,128,0.707,0,0,0,0,15,19
utils,70,0.7214,0,0,0,0,2,13
__init__,1,0.5,0,0,0,0,0,0
base,116,0.7198,0,0,0,0,1,19
future_calendar_collector,47,0.8298,0,0,0,0,2,8
index,41,0.6585,0,0,0,0,0,13
utils,188,0.7553,0,0,0,0,18,39
collector,115,0.7043,0,0,0,0,1,16
collector,47,0.7553,0,0,0,0,1,6
collector,164,0.6494,0,0,0,0,3,28
collector,86,0.7267,0,0,0,0,2,14
collector,79,0.7595,0,0,0,0,3,11
collector,126,0.7183,0,0,0,0,2,23
collector,104,0.7163,0,0,0,0,2,15
collector,314,0.7436,0,0,0,0,2,34
fill_cn_1min_data,32,0.6094,0,0,0,0,0,4
future_trading_date_collector,33,0.5909,0,0,0,0,1,8
test_file_strategy,22,0.7727,0,0,0,0,0,2
